66	 Kullanıcı :00230 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:48
67	 Kullanıcı :00224 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:51
68	 Kullanıcı :00249 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:58
69	 Kullanıcı :00242 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:01
70	 Kullanıcı :00290 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:03
71	 Kullanıcı :00243 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:05
72	 Kullanıcı :00211 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:08
73	 Kullanıcı :00247 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:11
74	 Kullanıcı :00036 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:14
75	 Kullanıcı :00031 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:17
76	 Kullanıcı :00201 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:22
77	 Kullanıcı :00100 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:25
78	 Kullanıcı :00322 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:27
79	 Kullanıcı :00283 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:29
80	 Kullanıcı :00047 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:31
81	 Kullanıcı :00045 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:34
82	 Kullanıcı :00294 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:39
83	 Kullanıcı :00267 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:41
84	 Kullanıcı :00020 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:47
85	 Kullanıcı :00340 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:51
86	 Kullanıcı :00011 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:03
87	 Kullanıcı :00311 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:08
88	 Kullanıcı :00248 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:11
89	 Kullanıcı :00030 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:14
90	 Kullanıcı :00246 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:17
91	 Kullanıcı :00180 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:20
92	 Kullanıcı :00073 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:24
93	 Kullanıcı :00216 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:27
94	 Kullanıcı :00044 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:30
95	 Kullanıcı :00056 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:32
96	 Kullanıcı :00168 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:34
97	 Kullanıcı :00170 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:38
98	 Kullanıcı :00028 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:41
