51	Terminal :	10.80.15.220 	 Kullanıcı :00067 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:00
52	Terminal :	10.80.15.220 	 Kullanıcı :00153 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:03
53	Terminal :	10.80.15.220 	 Kullanıcı :00158 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:05
54	Terminal :	10.80.15.220 	 Kullanıcı :00376 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:09
55	Terminal :	10.80.15.220 	 Kullanıcı :00092 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:13
56	Terminal :	10.80.15.220 	 Kullanıcı :00040 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:16
57	Terminal :	10.80.15.220 	 Kullanıcı :00037 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:18
58	Terminal :	10.80.15.220 	 Kullanıcı :00228 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:21
59	Terminal :	10.80.15.220 	 Kullanıcı :00164 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:23
60	Terminal :	10.80.15.220 	 Kullanıcı :00138 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:26
61	Terminal :	10.80.15.220 	 Kullanıcı :00136 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:34
62	Terminal :	10.80.15.220 	 Kullanıcı :00237 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:37
63	Terminal :	10.80.15.220 	 Kullanıcı :00198 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:39
64	Terminal :	10.80.15.220 	 Kullanıcı :00238 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:41
65	Terminal :	10.80.15.220 	 Kullanıcı :00176 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:43
66	Terminal :	10.80.15.220 	 Kullanıcı :00171 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:46
67	Terminal :	10.80.15.220 	 Kullanıcı :00230 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:48
68	Terminal :	10.80.15.220 	 Kullanıcı :00224 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:51
69	Terminal :	10.80.15.220 	 Kullanıcı :00249 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:47:58
70	Terminal :	10.80.15.220 	 Kullanıcı :00242 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:01
71	Terminal :	10.80.15.220 	 Kullanıcı :00290 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:03
72	Terminal :	10.80.15.220 	 Kullanıcı :00243 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:05
73	Terminal :	10.80.15.220 	 Kullanıcı :00211 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:08
74	Terminal :	10.80.15.220 	 Kullanıcı :00247 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:11
75	Terminal :	10.80.15.220 	 Kullanıcı :00036 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:14
76	Terminal :	10.80.15.220 	 Kullanıcı :00031 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:17
77	Terminal :	10.80.15.220 	 Kullanıcı :00201 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:22
78	Terminal :	10.80.15.220 	 Kullanıcı :00100 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:25
79	Terminal :	10.80.15.220 	 Kullanıcı :00322 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:27
80	Terminal :	10.80.15.220 	 Kullanıcı :00283 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:29
81	Terminal :	10.80.15.220 	 Kullanıcı :00047 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:31
82	Terminal :	10.80.15.220 	 Kullanıcı :00045 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:34
83	Terminal :	10.80.15.220 	 Kullanıcı :00294 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:39
84	Terminal :	10.80.15.220 	 Kullanıcı :00267 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:41
85	Terminal :	10.80.15.220 	 Kullanıcı :00020 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:47
86	Terminal :	10.80.15.220 	 Kullanıcı :00340 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:48:51
87	Terminal :	10.80.15.220 	 Kullanıcı :00011 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:03
88	Terminal :	10.80.15.220 	 Kullanıcı :00311 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:08
89	Terminal :	10.80.15.220 	 Kullanıcı :00248 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:11
90	Terminal :	10.80.15.220 	 Kullanıcı :00030 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:14
91	Terminal :	10.80.15.220 	 Kullanıcı :00246 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:17
92	Terminal :	10.80.15.220 	 Kullanıcı :00180 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:20
93	Terminal :	10.80.15.220 	 Kullanıcı :00073 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:24
94	Terminal :	10.80.15.220 	 Kullanıcı :00216 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:27
95	Terminal :	10.80.15.220 	 Kullanıcı :00044 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:30
96	Terminal :	10.80.15.220 	 Kullanıcı :00056 : 	 İşlem Tipi 0	25.05.2022 00:00:00	16:49:32
